Instrument,Description,Pointsize,Adjustment,Currency,Slippage,PerBlock,Region,AssetClass,Percentage,PerTrade
AW,Bloomberg Commodity Index Futures,100.0,1.0,USD,0.01,1.87,US,Ags,0,0
GD,S&P-GSCI Commodity Index Futures,250.0,1.0,USD,0.05,2.97,US,Ags,0,0
CB,Cash-settled Butter Futures,20000.0,0.01,USD,0.00025,2.97,US,Ags,0,0
GNF,Nonfat Dry Milk Futures,44000.0,0.01,USD,0.00025,2.97,US,Ags,0,0
GDK,Class IV Milk Futures,200000.0,1.0,USD,0.01,2.97,US,Ags,0,0
DY,Dry Whey Futures,44000.0,0.01,USD,0.00025,2.97,US,Ags,0,0
ZC,Corn Futures,5000.0,0.01,USD,0.0025,2.97,US,Ags,0,0
ZW,Chicago SRW Wheat Futures,5000.0,0.01,USD,0.0025,2.97,US,Ags,0,0
KE,KC HRW Wheat Futures,5000.0,0.01,USD,0.0025,2.97,US,Ags,0,0
ZR,Rough Rice Futures,2000.0,0.01,USD,0.005,2.97,US,Ags,0,0
XC,Mini-Corn Futures,1000.0,0.01,USD,0.00125,1.9,US,Ags,0,0
ZO,Oats Futures,5000.0,0.01,USD,0.0025,2.97,US,Ags,0,0
XW,Mini-sized Chicago SRW Wheat Futures,1000.0,0.01,USD,0.00125,1.9,US,Ags,0,0
LE,Live Cattle Futures,40000.0,0.01,USD,0.00025,2.97,US,Ags,0,0
HE,Lean Hog Futures,40000.0,0.01,USD,0.00025,2.97,US,Ags,0,0
GF,Feeder Cattle Futures,50000.0,0.01,USD,0.00025,2.97,US,Ags,0,0
LBR,Lumber Futures,27500.0,1.0,USD,0.5,2.37,US,Ags,0,0
ZS,Soybean Futures,5000.0,0.01,USD,0.0025,2.97,US,Ags,0,0
ZM,Soybean Meal Futures,100.0,1.0,USD,0.1,2.97,US,Ags,0,0
ZL,Soybean Oil Futures,60000.0,0.01,USD,0.0001,2.97,US,Ags,0,0
XK,Mini Soybean Futures,1000.0,0.01,USD,0.00125,1.9,US,Ags,0,0
BTC,Bitcoin Futures,5.0,1.0,USD,5.0,11.02,US,Cryptocurrencies,0,0
MBT,Micro Bitcoin Futures,0.1,1.0,USD,5.0,3.27,US,Cryptocurrencies,0,0
MET,Micro Ether Futures,0.1,1.0,USD,0.5,0.32,US,Cryptocurrencies,0,0
ETH,Ether Futures,50.0,1.0,USD,0.5,7.02,US,Cryptocurrencies,0,0
CL,Crude Oil Futures,1000.0,1.0,USD,0.01,2.37,US,Energy,0,0
BZ,Brent Last Day Financial Futures,1000.0,1.0,USD,0.01,1.22,US,Energy,0,0
MCL,Micro WTI Crude Oil Futures,100.0,1.0,USD,0.01,0.77,US,Energy,0,0
QM,E-mini Crude Oil Futures,500.0,1.0,USD,0.025,2.07,US,Energy,0,0
NG,Henry Hub Natural Gas Futures,10000.0,1.0,USD,0.00025,2.37,US,Energy,0,0
HH,Natural Gas (Henry Hub) Last-day Financial Futures,10000.0,1.0,USD,0.00025,2.32,US,Energy,0,0
QG,E-mini Natural Gas Futures,2500.0,1.0,USD,0.005,1.37,US,Energy,0,0
RB,RBOB Gasoline Futures,42000.0,1.0,USD,0.0001,2.37,US,Energy,0,0
HO,NY Harbor ULSD Futures,42000.0,1.0,USD,0.0001,2.37,US,Energy,0,0
